"ENSEMBL","ENTREZID","SYMBOL"
"ENSRNOG00000018740","396527","Ugt1a2"
"ENSRNOG00000018740","396551","Ugt1a3"
"ENSRNOG00000018740","396552","Ugt1a9"
"ENSRNOG00000018740","574523","Ugt1a5"
"ENSRNOG00000016724","116724","Epb41l3"
"ENSRNOG00000003722","498267","Styxl2"
"ENSRNOG00000027936","494320","Ccdc8"
"ENSRNOG00000021100","310663","Tnfaip8l2"
"ENSRNOG00000013564","306760","Dok3"
"ENSRNOG00000012228","155183","Skap2"
"ENSRNOG00000004647","25325","Il10"
"ENSRNOG00000053991","114200","P3h1"
"ENSRNOG00000014060","25482","Mras"
"ENSRNOG00000020465","246240","Ripk3"
"ENSRNOG00000004273","293618","Ifitm1"
"ENSRNOG00000012109","310190","Otulinl"
"ENSRNOG00000009331","25734","Hck"
"ENSRNOG00000023538","291133","Aldh5a1"
"ENSRNOG00000011758","295672","Fkbp7"
"ENSRNOG00000011502","362584","Col9a2"
"ENSRNOG00000013589","24772","Cxcl12"
"ENSRNOG00000004610","81682","Lum"
"ENSRNOG00000005621","688618","Gxylt2"
"ENSRNOG00000012508","295455","Slc39a8"
"ENSRNOG00000012303","301226","Apobec2"
"ENSRNOG00000013577","315131","Kdelr3"
"ENSRNOG00000000288","287949","Scarf2"
"ENSRNOG00000007110","500430","Ankrd6"
"ENSRNOG00000042825","360655","Cd300le"
"ENSRNOG00000014327","117505","Csrp3"
"ENSRNOG00000033348","266807","Duox1"
"ENSRNOG00000014961","54320","Pdpn"
"ENSRNOG00000014653","364396","Arl11"
"ENSRNOG00000052583","688018","Zfp106"
"ENSRNOG00000015421","295219","Slc27a3"
"ENSRNOG00000025332","363104","Cd109"
"ENSRNOG00000023943","288456","Gbp1-ps1"
"ENSRNOG00000002014","305269","Stap1"
"ENSRNOG00000037199","301016","Spink8"
"ENSRNOG00000003242","314543","Gulp1"
"ENSRNOG00000018415","291135","Acot13"
"ENSRNOG00000004834","360661","Llgl2"
"ENSRNOG00000017466","117550","Kif5b"
"ENSRNOG00000013790","361957","Mfsd1"
"ENSRNOG00000003720","266813","Prrx1"
"ENSRNOG00000004141","679921","Vasn"
"ENSRNOG00000009790","29553","Kcnk3"
"ENSRNOG00000020431","60450","Matk"
"ENSRNOG00000046663","498276","LOC498276"
"ENSRNOG00000046663","103693683","Fcgr2a-ps1"
"ENSRNOG00000036682","287877","Pycr1"
"ENSRNOG00000032410","498136","Mtus2"
"ENSRNOG00000005413","362165","Creb3l1"
"ENSRNOG00000002488","170501","Galnt10"
"ENSRNOG00000042524","59105","Milr1"
"ENSRNOG00000008045","289235","Slamf9"
"ENSRNOG00000018943","290561","Tnnc1"
"ENSRNOG00000047545","25083","Adra2a"
"ENSRNOG00000004805","363674","Stac2"
"ENSRNOG00000019306","191595","Syt12"
"ENSRNOG00000060349","312159","Fam3c"
"ENSRNOG00000022999","363122","Ppp2r3a"
"ENSRNOG00000001187","304545","Oasl"
"ENSRNOG00000005934","681849","Mlip"
"ENSRNOG00000024728","306279","Arhgap22"
"ENSRNOG00000057058","501736","Cd300a"
"ENSRNOG00000003835","287532","Slc43a2"
"ENSRNOG00000004980","287419","Rangrf"
"ENSRNOG00000010260","363062","Dixdc1"
"ENSRNOG00000007918","24886","Tbxas1"
"ENSRNOG00000019890","293154","Folr2"
"ENSRNOG00000050848","687424","Dtx1"
"ENSRNOG00000010196","316033","Glb1"
"ENSRNOG00000008409","314654","Myo1f"
"ENSRNOG00000000565","286896","Sgpl1"
"ENSRNOG00000020206","171293","Ctsd"
"ENSRNOG00000016547","59293","Rgs19"
"ENSRNOG00000006151","24618","Reg3b"
"ENSRNOG00000026605","299269","Ifi27l2b"
"ENSRNOG00000027410","499518","Ccdc125"
"ENSRNOG00000003873","25306","Cpd"
"ENSRNOG00000008141","25105","Nppb"
"ENSRNOG00000046121","100909671","LOC100909671"
"ENSRNOG00000002217","360914","Plac8"
"ENSRNOG00000056596","65155","Alas1"
"ENSRNOG00000003999","64508","Adcy3"
"ENSRNOG00000008380","286920","Asic3"
