"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031674","I band","30/1028","143/13952",1.37762635251953e-07,6.06155595108591e-06,5.24684486414135e-06,"Flna/Actn1/Xirp2/Ankrd1/Des/Pdlim5/Ankrd23/Cryab/Csrp3/Nrap/Actc1/Sphkap/Ank1/Myl3/Casq2/Adra1a/Pak1/Cav3/Csrp1/Itgb1bp2/Myh7/Cavin4/Ryr2/Synpo2/Myo18b/Ryr3/Asb2/Obscn/Fbxl22/Scn5a",30
"GO:0042383","sarcolemma","33/1028","172/13952",3.04757252171564e-07,1.22918758375864e-05,1.0639770733709e-05,"Vcam1/Col6a1/Col6a2/Ctsb/Actn1/Des/Stac2/Mlip/Ank1/Synm/Trim72/Adra1a/Akap6/Popdc2/Cav3/Kcnj3/Cavin4/Ryr2/Kcnq1/Trdn/Cacnb2/Adcy5/Kcnj11/Cacnb3/Ryr3/Obscn/Cacna2d1/Cacna1h/Scn5a/Bves/Abcc8/Prkar2a/Sgcd",33
"GO:0000323","lytic vacuole","63/1028","451/13952",5.72690451990367e-07,1.97987270545241e-05,1.71376541272305e-05,"Nsg1/Gusb/Ramp3/Hpse/Rab38/Ctsb/Adam8/Acp3/Stxbp2/Ifi30/Pip4k2a/Dpp7/Slc7a5/Slc11a1/Naglu/Scarb1/Tcirg1/Lgmn/Grn/Ctsz/Akr1b10/Ctsk/Cryab/Ifitm1/Hck/Slc39a8/Kif5b/Mfsd1/Glb1/Ctsd/Slc17a9/P2rx4/Stx3/Hexb/Slc26a11/Dnase2/Unc93b1/Npc1/Cd68/Atp6ap2/Serpinb1a/Npc2/Tpcn2/Pld3/Rnaset2/Abcb9/Pla2g15/Acp5/Ctss/Kcnq1/Laptm5/Pla2g5/Rab7b/Myo5a/Ggh/Lrrc8e/Mcoln3/Mfsd12/Napsa/Galns/Rnaset2-ps1/Tmem45b/Galc",63
"GO:0005764","lysosome","63/1028","451/13952",5.72690451990367e-07,1.97987270545241e-05,1.71376541272305e-05,"Nsg1/Gusb/Ramp3/Hpse/Rab38/Ctsb/Adam8/Acp3/Stxbp2/Ifi30/Pip4k2a/Dpp7/Slc7a5/Slc11a1/Naglu/Scarb1/Tcirg1/Lgmn/Grn/Ctsz/Akr1b10/Ctsk/Cryab/Ifitm1/Hck/Slc39a8/Kif5b/Mfsd1/Glb1/Ctsd/Slc17a9/P2rx4/Stx3/Hexb/Slc26a11/Dnase2/Unc93b1/Npc1/Cd68/Atp6ap2/Serpinb1a/Npc2/Tpcn2/Pld3/Rnaset2/Abcb9/Pla2g15/Acp5/Ctss/Kcnq1/Laptm5/Pla2g5/Rab7b/Myo5a/Ggh/Lrrc8e/Mcoln3/Mfsd12/Napsa/Galns/Rnaset2-ps1/Tmem45b/Galc",63
"GO:0098644","complex of collagen trimers","9/1028","17/13952",8.75071412415096e-07,2.82356375739271e-05,2.44405910274532e-05,"Col11a1/Col1a1/Col5a2/Col5a1/Col1a2/Col3a1/Col5a3/Lum/Col4a3",9
"GO:0030018","Z disc","26/1028","129/13952",2.06877572198336e-06,6.25804655899965e-05,5.41692590361431e-05,"Flna/Actn1/Xirp2/Des/Pdlim5/Cryab/Csrp3/Nrap/Sphkap/Ank1/Casq2/Adra1a/Pak1/Cav3/Csrp1/Itgb1bp2/Myh7/Cavin4/Ryr2/Synpo2/Myo18b/Ryr3/Asb2/Obscn/Fbxl22/Scn5a",26
"GO:0005604","basement membrane","22/1028","102/13952",3.90125554378505e-06,0.000111071040187763,9.61423966827523e-05,"Fn1/Col5a1/Ptn/Tgfbi/Thbs2/Col18a1/Efemp2/Tnc/Acan/Lama3/Lamc2/P3h1/Thbs4/Acta2/Efemp1/Lamb3/Hmcn1/Runx1/Timp1/Itgb4/Ntn1/Col4a3",22
"GO:0045121","membrane raft","42/1028","285/13952",1.19342518644629e-05,0.000320898772355558,0.00027776796737171,"Thy1/Plvap/Serpinh1/Slc39a6/Hpse/Ctsb/Itgb2/Trem2/Kirrel1/Scarb1/Stom/Cd8a/Myof/Abca1/Gpc1/Hck/Pdpn/Rangrf/Ctsd/Npc1/Adra1a/Akap6/Cav3/Slc1a1/Mme/Ldhb/Itgam/Hspa1a/Cavin4/Kcnq1/Sorbs1/Nfam1/Hmox1/Cblc/Cd14/Btk/Dpp4/Tnfrsf10b/Cacna1h/Scn5a/Bves/Prkar2a",42
"GO:0098857","membrane microdomain","42/1028","286/13952",1.30194063275855e-05,0.000331652245397442,0.000287076106281387,"Thy1/Plvap/Serpinh1/Slc39a6/Hpse/Ctsb/Itgb2/Trem2/Kirrel1/Scarb1/Stom/Cd8a/Myof/Abca1/Gpc1/Hck/Pdpn/Rangrf/Ctsd/Npc1/Adra1a/Akap6/Cav3/Slc1a1/Mme/Ldhb/Itgam/Hspa1a/Cavin4/Kcnq1/Sorbs1/Nfam1/Hmox1/Cblc/Cd14/Btk/Dpp4/Tnfrsf10b/Cacna1h/Scn5a/Bves/Prkar2a",42
"GO:0014704","intercalated disc","14/1028","62/13952",0.000130573432494215,0.00315987706636,0.00273516979645776,"Actn1/Des/Ankrd23/Rangrf/Nrap/Pkp2/Akap6/Pak1/Cav3/Xirp1/Kcnj11/Dsg2/Obscn/Scn5a",14
"GO:0015629","actin cytoskeleton","56/1028","465/13952",0.000175536694018422,0.00404570285261506,0.00350193504858807,"Ccn5/Vcam1/Cotl1/Adam8/Flna/Myh10/Cnn1/Actn1/Xirp2/Sh3gl1/Cald1/Hspb7/Specc1/Pdlim5/Marcks/Clic5/Ankrd23/Cryab/Hck/Llgl2/Tnnc1/Myo1f/Actc1/Myl3/Tpm2/Capg/Myl2/Cyba/Cela1/Bin2/Tspan5/Pak1/Tnnt2/Lmod1/Fermt3/Xirp1/Acta2/Fhod3/Myh7/Tmod1/Micall2/Gdpd2/Sorbs1/Synpo2/Pawr/Shroom3/Myo18b/Myo5a/Rnd1/Kntc1/Abra/Msra/Myo1g/Ntn1/Auts2/Diaph3",56
